pid,stad,size,sum,own_base,shrunk,edge_pp,stat,name,role,team,last_season
00-0029701,Nissan Stadium,21,11,0.4523809523809524,0.4889663182346109,3.7,pass_yards,R.Tannehill,QB,TEN,2023
00-0036900,M&T Bank Stadium,5,3,0.4126984126984127,0.45015873015873015,3.7,rec_yards,J.Chase,WR,CIN,2025
00-0033908,Levi's Stadium,5,3,0.4126984126984127,0.45015873015873015,3.7,rec_yards,C.Kupp,WR,SEA,2025
00-0040129,Raymond James Stadium,7,3,0.2857142857142857,0.32275132275132273,3.7,rec_yards,E.Egbuka,WR,TB,2025
00-0040124,Bank of America Stadium,7,4,0.42857142857142855,0.4656084656084656,3.7,rec_yards,T.McMillan,WR,CAR,2025
00-0037263,Mercedes-Benz Stadium,27,14,0.45454545454545453,0.4912959381044487,3.7,rush_yards,T.Allgeier,RB,ATL,2025
00-0035229,Ford Field,16,8,0.417910447761194,0.45439469320066334,3.6,rec_yards,T.Hockenson,TE,MIN,2025
00-0035229,Soldier Field,5,3,0.417910447761194,0.4543283582089552,3.6,rec_yards,T.Hockenson,TE,MIN,2025
00-0037740,MetLife Stadium,24,12,0.43478260869565216,0.47035573122529645,3.6,rec_yards,G.Wilson,WR,NYJ,2025
00-0035329,SoFi Stadium,15,8,0.4482758620689655,0.48472906403940885,3.6,rec_yards,D.Parham,TE,LAC,2023
00-0036829,Mercedes-Benz Stadium,5,2,0.2222222222222222,0.2577777777777778,3.6,rush_yards,C.Huntley,RB,ATL,2022
00-0040730,Empower Field at Mile High,8,5,0.5,0.5357142857142857,3.6,rush_yards,R.Harvey,RB,DEN,2025
00-0033025,Allegiant Stadium,8,5,0.5,0.5357142857142857,3.6,rush_yards,J.Richard,RB,LV,2021
00-0034869,Levi's Stadium,4,3,0.5357142857142857,0.5714285714285714,3.6,pass_yards,S.Darnold,QB,SEA,2025
00-0033662,AT&T Stadium,8,5,0.5,0.5357142857142857,3.6,pass_yards,C.Rush,QB,BAL,2025
00-0036898,Nissan Stadium,4,3,0.5357142857142857,0.5714285714285714,3.6,pass_yards,D.Mills,QB,HOU,2025
00-0033699,SoFi Stadium,23,13,0.5,0.5348837209302325,3.5,rush_yards,A.Ekeler,RB,WAS,2025
00-0033106,Ford Field,33,19,0.5189873417721519,0.5543348459517554,3.5,pass_yards,J.Goff,QB,DET,2025
00-0034844,Lincoln Financial Field,13,7,0.45,0.48484848484848486,3.5,rush_yards,S.Barkley,RB,PHI,2025
00-0030035,Ford Field,5,3,0.4264705882352941,0.4611764705882353,3.5,rec_yards,A.Thielen,WR,PIT,2025
00-0038606,TIAA Bank Stadium,11,7,0.5416666666666666,0.575268817204301,3.4,rec_yards,P.Washington,WR,JAX,2025
00-0032058,MetLife Stadium,4,3,0.5454545454545454,0.5795454545454545,3.4,rush_yards,T.Coleman,RB,SF,2022
00-0032775,Levi's Stadium,7,4,0.4393939393939394,0.4736251402918069,3.4,rec_yards,D.Robinson,WR,SF,2025
